Player_id,Player,Squad_id,Nation,Pos,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Sh,SoT,Dist,FK,Passes_Cmp,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,PPA,Tkl,Challenges_Tkl,Challenges_Lost,Blocks,Err,Touches,Touches_DefPen,Touches_AttPen,Take-Ons_Succ,Take-Ons_Tkld,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_Dis,Receiving_Rec,Subs,unSub,2CrdY,Fls,Fld,Off,PKcon,OG,Recov
e8db88cd,Noëlie Mendy,abc4f6d7,fr FRA,DF,18,2004,1,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0,0.0,0.0,0.0,0.0,0,0.0
6c8f2306,Li Mengwen,80595417,cn CHN,DF,28,1995,12,8,655,0,1,0,0,0,0,27.0,36.0,56.0,5.0,1.0,19.3,0.0,422.0,509.0,6517.0,2254.0,6.0,12.0,21.0,11.0,9.0,11.0,0.0,601.0,8.0,15.0,2.0,16.0,306.0,1878.0,1074.0,4.0,394.0,1,0.0,0,5.0,7.0,0.0,0.0,0,44.0
1301d92c,Charlène Meyong,e3696882,cm CMR,"MF,FW",24,1998,13,8,643,2,1,0,0,2,0,4.0,23.0,11.0,8.0,4.0,20.7,0.0,168.0,252.0,2880.0,1059.0,6.0,3.0,20.0,10.0,5.0,7.0,0.0,313.0,12.0,7.0,2.0,4.0,162.0,847.0,386.0,17.0,181.0,4,0.0,0,15.0,4.0,1.0,0.0,0,51.0
91c05463,Nerilia Mondesir,7bbdea71,ht HAI,FW,24,1999,18,18,1522,8,1,0,0,3,0,56.0,39.0,188.0,51.0,22.0,15.4,0.0,248.0,374.0,3840.0,890.0,26.0,22.0,18.0,4.0,3.0,9.0,0.0,595.0,3.0,96.0,22.0,22.0,434.0,2731.0,1135.0,38.0,463.0,0,1.0,0,33.0,32.0,18.0,0.0,0,67.0
197fe553,Perle Morroni,7f2012ad,fr FRA,DF,25,1997,16,13,1187,0,1,0,0,4,0,53.0,66.0,102.0,5.0,3.0,12.8,0.0,708.0,898.0,11331.0,4096.0,15.0,17.0,43.0,10.0,6.0,8.0,0.0,1059.0,14.0,31.0,18.0,22.0,527.0,3240.0,1751.0,16.0,597.0,0,19.0,0,20.0,22.0,3.0,0.0,0,110.0
5ce5fb06,Maelys Mpomé,7bbdea71,fr FRA,DF,20,2003,17,7,728,1,0,0,0,2,0,1.0,17.0,2.0,6.0,1.0,10.2,0.0,236.0,322.0,5059.0,1825.0,2.0,3.0,20.0,9.0,1.0,18.0,0.0,440.0,55.0,7.0,4.0,4.0,232.0,1452.0,731.0,1.0,212.0,0,1.0,0,12.0,6.0,1.0,0.0,0,76.0
8a1598bd,Laura Muller,c57b7254,dz ALG,"FW,MF",24,1999,4,0,42,0,0,0,0,0,0,0.0,1.0,2.0,1.0,1.0,30.3,0.0,10.0,16.0,208.0,38.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,4.0,19.0,48.0,17.0,3.0,19.0,1,0.0,0,1.0,0.0,0.0,0.0,0,6.0
28bb8e61,Léonie Multari,b54d31b3,fr FRA,DF,26,1996,2,2,114,0,0,0,0,1,0,0.0,2.0,0.0,0.0,0.0,,0.0,16.0,23.0,334.0,241.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,44.0,20.0,0.0,0.0,0.0,15.0,64.0,30.0,0.0,11.0,2,2.0,0,1.0,0.0,0.0,1.0,0,6.0
caeb03f0,Romane Munich,b54d31b3,fr FRA,GK,28,1994,18,18,1620,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,392.0,628.0,10646.0,7492.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,677.0,548.0,1.0,0.0,0.0,294.0,1821.0,1091.0,0.0,181.0,4,0.0,0,1.0,1.0,0.0,0.0,0,25.0
f94124f7,Yrma Mze Issa,700c41b4,fr FRA,"FW,DF",19,2003,6,2,211,1,0,0,0,0,0,3.0,6.0,17.0,0.0,0.0,6.6,0.0,35.0,52.0,459.0,147.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,73.0,0.0,8.0,4.0,2.0,50.0,289.0,159.0,10.0,58.0,6,0.0,0,2.0,5.0,0.0,0.0,0,10.0
